2014,9,HEHGC,Hospital Dr. Gustavo Nelson Collado Ríos,Radiología Convencional,HEHGC.DR1,Rayos X GE (EQUIPO 2),0,0,2,1,14
2016,9,HEHGC,Hospital Dr. Gustavo Nelson Collado Ríos,Radiología Convencional,HEHGC.DR1,Rayos X GE (EQUIPO 2),0,0,1852,254,1.363202545
2017,8,HEHGC,Hospital Dr. Gustavo Nelson Collado Ríos,Ultrasonido,HEHGC.US2,Ultrasonido Philips,1,2,651,649,1.571865443
2015,3,HEHGC,Hospital Dr. Gustavo Nelson Collado Ríos,Ultrasonido,HEHGC.US2,Ultrasonido Philips,1,0,486,483,2.105906314
2015,7,HEHGC,Hospital Dr. Gustavo Nelson Collado Ríos,Ultrasonido,HEHGC.US2,Ultrasonido Philips,0,3,468,468,1.602105263
2017,4,CLHRE,Hospital Regional Dr. Rafael Estevez,Radiología Convencional,CLHRE.DR3,Fluororadiografico Shimadzu,0,0,38,0,1
2016,11,CLHRE,Hospital Regional Dr. Rafael Estevez,Radiología Convencional,CLHRE.DR3,Fluororadiografico Shimadzu,0,0,8,0,1
2015,6,HEHGC,Hospital Dr. Gustavo Nelson Collado Ríos,Angiografía,HEHGC.AC3,Arco en C Ziehm,0,0,21,0,1
2014,10,HEHGC,Hospital Dr. Gustavo Nelson Collado Ríos,Angiografía,HEHGC.AC3,Arco en C Ziehm,0,0,6,0,1
2017,7,CLHRE,Hospital Regional Dr. Rafael Estevez,Radiología Convencional,CLHRE.RXP1,Rayos X Portatil Siemens,0,0,11,0,1
2016,7,CLHRE,Hospital Regional Dr. Rafael Estevez,Radiología Convencional,CLHRE.RXP1,Rayos X Portatil Siemens,0,0,2,0,1
2015,1,HEHGC,Hospital Dr. Gustavo Nelson Collado Ríos,Radiología Convencional,HEHGC.DR3,Rayos X Shimadzu (EQUIPO 1) Fluorospeed,2,2,1372,277,1.724893918
2015,5,PAHDI,Hospital 24 de Diciembre,Ultrasonido,PAHDI.US1,Ultrasonido Philips iu22,0,0,429,429,2.426724138
2016,11,PAHDI,Hospital 24 de Diciembre,Radiología Convencional,PAHDI.DR1,Rayos X Shimadzu,0,0,2169,501,2.066206897
2015,3,HEHGC,Hospital Dr. Gustavo Nelson Collado Ríos,Ultrasonido,HEHGC.US1,Ultrasonido GE 1,1,0,459,459,3.238493724
2016,1,HEHGC,Hospital Dr. Gustavo Nelson Collado Ríos,Ultrasonido,HEHGC.US1,Ultrasonido GE 1,0,3,457,457,1.635193133
2016,1,HEHGC,Hospital Dr. Gustavo Nelson Collado Ríos,Angiografía,HEHGC.AC2,Arco en C Shimadzu 2,0,0,0,0,1
